NPS	ODMm	ODInch	SCH 5	SCH 10	SCH 20	SCH 30	SCH STD	SCH 40	SCH 60	SCH XS	SCH 80	SCH 100	SCH 120	SCH 140	SCH 160	SCH XXS
0,125	10,3	0,405	0	1,24		1,45	1,73	1,73		2,41	2,41					
0,25	13,7	0,54	0	1,65		1,85	2,24	2,24		3,02	3,02					
0,375	17,1	0,675	0	1,65		1,85	2,31	2,31		3,2	3,2					
0,5	21,3	0,839	1,65	2,11		2,41	2,77	2,77		3,73	3,73				4,78	7,47
0,75	26,7	1,051	1,65	2,11		2,41	2,87	2,87		3,91	3,91				5,56	7,82
1	33,4	1,315	1,65	2,77		2,9	3,38	3,38		4,55	4,55				6,35	9,09
1,25	42,2	1,661	1,65	2,77		2,97	3,56	3,56		4,85	4,85				6,35	9,7
1,5	48,3	1,902	1,65	2,77		3,18	3,68	3,68		5,08	5,08				7,14	10,15
2	60,3	2,374	1,65	2,77		3,18	3,91	3,91		5,54	5,54				8,74	11,07
2,5	73	2,874	2,11	3,05		4,78	5,16	5,16		7,01	7,01				9,53	14,02
3	88,9	3,5	2,11	3,05		4,78	5,49	5,49		7,62	7,62				11,13	15,24
3,5	101,6	4	2,11	3,05		4,78	5,74	5,74		8,08	8,08					
4	114,3	4,5	2,11	3,05		4,78	6,02	6,02		8,56	8,56		11,13		13,49	17,12
5	141,3	5,563	2,77	3,4			6,55	6,55		9,53	9,53		12,7		15,88	19,05
6	168,3	6,626	2,77	3,4			7,11	7,11		10,97	10,97		14,27		18,26	21,95
8	219,1	8,626	2,77	3,76	6,35	7,04	8,18	8,18	10,31	12,7	12,7	15,09	18,26	20,62	23,01	22,23
10	273,1	10,752	3,4	4,19	6,35	7,8	9,27	9,27	12,7	12,7	15,09	18,26	21,44	25,4	28,58	25,4
12	323,9	12,752	3,96	4,57	6,35	8,38	9,53	10,31	14,27	12,7	17,48	21,44	25,4	28,58	33,32	25,4
14	355,6	14	3,96	6,35	7,92	9,53	9,53	11,13	15,09	12,7	19,05	23,83	27,79	31,75	35,71	
16	406,4	16	4,19	6,35	7,92	9,53	9,53	12,7	16,66	12,7	21,44	26,19	30,96	36,53	40,49	
18	457,2	18	4,19	6,35	7,92	11,13	9,53	14,27	19,05	12,7	23,88	29,36	34,93	39,67	45,24	
20	508	20	4,78	6,35	9,53	12,7	9,53	15,09	20,62	12,7	26,19	32,54	38,1	44,45	50,01	
22	558,8	22	4,78	6,35	9,53	12,7	9,53		22,23	12,7	28,58	34,93	41,28	47,63	53,98	
24	609,6	24	5,54	6,35	9,53	14,27	9,53	17,48	24,61	12,7	30,96	38,89	46,02	52,37	59,54	
26	660,4	26	0	7,92	12,7		9,53			12,7						
28	711,2	28	0	7,92	12,7	15,88	9,53			12,7						
30	762	30	6,35	7,92	12,7	15,88	9,53			12,7						
32	812,8	32	0	7,92	12,7	15,88	9,53	17,48		12,7						
34	863,6	34	0	7,92	12,7	15,88	9,53	17,48		12,7						
36	914,4	36	0	7,92	12,7	15,88	9,53	19,05		12,7						
38	965,2	38	0	0			9,53			12,7						
40	1016	40	0	0			9,53			12,7						
42	1066,8	42	0	0			9,53			12,7						
44	1117,8	44,008	0	0			9,53			12,7						
46	1168,4	46	0	0			9,53			12,7						
48	1219,2	48	0	0			9,53			12,7						
