Class	Spec	Grade	SMYSPsi	SMYSMpa	WeldJoint	AllowStressPsi	AllowStressMpa
Seamless	S API 5L	A25	25000	172	1	18000	124
Seamless	S API 5L	A	30000	207	1	21600	149
Seamless	S API 5L	B	35000	241	1	25200	174
Seamless	S API 5L	X42	42000	289	1	30250	208
Seamless	S API 5L	X46	46000	317	1	33100	228
Seamless	S API 5L	X52	52000	358	1	37450	258
Seamless	S API 5L	X56	56000	386	1	40300	278
Seamless	S API 5L	X60	60000	413	1	43200	298
Seamless	S API 5L	X65	65000	448	1	46800	323
Seamless	S API 5L	X70	70000	482	1	50400	347
Seamless	S API 5L	X80	80000	551	1	57600	397
Seamless	S ASTM A 53	A	30000	207	1	21600	149
Seamless	S ASTM A 53	B	35000	241	1	25200	174
Seamless	S ASTM A 106	A	30000	207	1	21600	149
Seamless	S ASTM A 106	B	35000	241	1	25200	174
Seamless	S ASTM A 106	C	40000	278	1	28800	199
Seamless	S ASTM A 333	6	35000	241	1	25200	174
Seamless	S ASTM A 524	I	35000	241	1	25200	174
Seamless	S ASTM A 524	H	30000	207	1	21600	149
Submerged Arc	DSA API 5L	A	30000	207	1	21600	149
Submerged Arc	DSA API 5L	B	35000	241	1	25200	174
Submerged Arc	DSA API 5L	X42	42000	289	1	30250	208
Submerged Arc	DSA API 5L	X46	46000	317	1	33100	228
Submerged Arc	DSA API 5L	X52	52000	358	1	37450	258
Submerged Arc	DSA API 5L	X56	56000	386	1	40300	278
Submerged Arc	DSA API 5L	X60	60000	413	1	43200	298
Submerged Arc	DSA API 5L	X65	65000	448	1	46800	323
Submerged Arc	DSA API 5L	X70	70000	482	1	50400	347
Submerged Arc	DSA API 5L	X80	80000	551	1	57600	397
Submerged Arc	DSA ASTM A 381	Y35	35000	241	1	25200	174
Submerged Arc	DSA ASTM A 381	Y42	42000	290	1	30250	209
Submerged Arc	DSA ASTM A 381	Y46	46000	317	1	33100	228
Submerged Arc	DSA ASTM A 381	Y48	48000	331	1	34550	238
Submerged Arc	DSA ASTM A 381	Y50	50000	345	1	36000	248
Submerged Arc	DSA ASTM A 381	Y52	52000	358	1	37450	258
Submerged Arc	DSA ASTM A 381	Y60	60000	413	1	43200	298
Submerged Arc	DSA ASTM A 381	Y65	65000	448	1	46800	323
Electric Fusion	EF ASTM A 134	-			0.8		
Electric Fusion	EF ASTM A 139	A	30000	207	0.8	17300	119
Electric Fusion	EF ASTM A 139	B	35000	241	0.8	20150	139
Electric Fusion	EF ASTM  A 671	-			1.00		
Electric Fusion	EF ASTM  A 671	--			0.70		
Electric Fusion	EF ASTM  A 672	-			1.00		
Electric Fusion	EF ASTM  A 672	--			0.80		
Electric Resistance	ERWAPI 5L	A25	25000	172	1	18000	124
Electric Resistance	ERWAPI 5L	A	30000	207	1	21600	149
Electric Resistance	ERWAPI 5L	B	35000	241	1	25200	174
Electric Resistance	ERWAPI 5L	X42	42000	289	1	30250	208
Electric Resistance	ERWAPI 5L	X46	46000	317	1	33100	228
Electric Resistance	ERWAPI 5L	X52	52000	358	1	37450	258
Electric Resistance	ERWAPI 5L	X56	56000	386	1	40300	278
Electric Resistance	ERWAPI 5L	X60	60000	413	1	43200	297
Electric Resistance	ERWAPI 5L	X65	65000	448	1	46800	323
Electric Resistance	ERWAPI 5L	X70	70000	482	1	50400	347
Electric Resistance	ERWAPI 5L	X80	80000	551	1	57600	397
Electric Resistance	ERW ASTM A 53	A	30000	207	1	21600	149
Electric Resistance	ERW ASTM A 53	B	35000	241	1	25200	174
Electric Resistance	ERW ASTM  A 135	A	30000	207	1	21600	149
Electric Resistance	ERW ASTM  A 135	B	35000	241	1	25200	174
Electric Resistance	ERW ASTM  A 333	6	35000	241	1	25000	174
Furnace Butt	BW API 5L	A25	25000	172		10800	74
Furnace Butt	BW ASTM A 53	-	25000	172		10800	74
